suite,case,elapsed_sec,joins_sr,joins_nr,broadcast_join_sr,broadcast_join_nr,partitioned_join_sr,partitioned_join_nr,runtime_filter_build_sr,runtime_filter_build_nr,runtime_filter_probe_sr,runtime_filter_probe_nr,scan_sr,scan_nr,agg_sr,agg_nr,shuffle_exchange_sr,shuffle_exchange_nr,broadcast_exchange_sr,broadcast_exchange_nr,gather_exchange_sr,gather_exchange_nr,max_est_rows_sr,max_est_rows_nr,plan_gap_tags
tpc-ds,q8,6.10,4,4,3,3,1,1,4,3,3,2,6,6,8,4,6,6,3,0,2,4,2513323,27181618,rf_probe_less(-1);rf_build_less(-1);agg_count_less(-4)
ssb,q4.1,6.07,4,4,4,4,0,0,4,4,1,4,5,5,4,2,1,1,4,0,2,5,5401054,3937368,agg_count_less(-2)
tpc-h,q19,6.07,1,1,1,1,0,0,1,1,1,1,2,2,4,2,0,0,1,0,1,2,3000608,1174001,agg_count_less(-2)
tpc-ds,q18,5.86,6,6,4,5,2,1,6,5,6,5,7,7,4,1,5,2,4,0,2,6,9604000,1728720,broadcast_more(+1);partitioned_less(-1);shuffle_less(-3);rf_probe_less(-1);rf_build_less(-1);agg_count_less(-3)
tpc-ds,q77,5.78,13,13,6,12,4,0,10,10,6,10,16,16,20,15,11,6,7,0,2,15,31543693988,2626150,broadcast_more(+6);partitioned_less(-4);shuffle_less(-5)
tpc-ds,q11,5.68,7,7,3,7,3,0,7,7,10,4,6,6,8,4,13,2,3,0,2,8,2592364,3321735,broadcast_more(+4);partitioned_less(-3);shuffle_less(-11);rf_probe_less(-6);agg_count_less(-4)
tpc-ds,q48,5.57,4,4,3,4,1,0,4,4,3,2,5,5,4,2,2,0,3,0,1,5,2880404,471686,broadcast_more(+1);partitioned_less(-1);shuffle_less(-2);rf_probe_less(-1);agg_count_less(-2)
tpc-ds,q16,5.55,5,5,4,4,1,1,4,4,2,3,6,6,8,4,3,3,4,0,3,5,1297393,1420222,agg_count_less(-4)
tpc-ds,q46,5.53,6,6,6,6,0,0,6,6,4,6,7,7,4,2,1,1,6,0,2,7,2592364,2286736,agg_count_less(-2)
tpc-ds,q66,5.52,8,8,8,8,0,0,8,8,2,8,10,10,12,5,3,2,8,0,2,9,1297393,1413253,shuffle_less(-1);agg_count_less(-7)
tpc-ds,q38,5.42,6,6,3,6,3,0,6,6,3,6,9,9,10,8,12,3,3,0,1,7,2513323,2626419,broadcast_more(+3);partitioned_less(-3);shuffle_less(-9)
tpc-ds,q68,5.37,6,6,6,4,0,2,6,4,4,4,7,7,4,2,1,5,6,0,2,5,2592364,2286736,rf_build_less(-2);agg_count_less(-2)
tpc-ds,q7,5.35,4,4,3,4,1,0,4,4,2,4,5,5,4,2,3,1,3,0,2,5,2592364,2257560,broadcast_more(+1);partitioned_less(-1);shuffle_less(-2);agg_count_less(-2)
tpc-ds,q10,5.32,7,7,4,7,2,0,7,7,7,5,9,9,4,2,6,1,4,0,2,8,2513323,2626419,broadcast_more(+3);partitioned_less(-2);shuffle_less(-5);rf_probe_less(-2);agg_count_less(-2)
tpc-ds,q97,5.22,3,3,2,2,0,1,2,2,2,2,4,4,8,6,2,4,2,0,1,3,2513323,2750311,
tpc-ds,q34,5.20,4,4,4,4,0,0,4,4,2,4,5,5,4,2,1,1,4,0,2,5,2513323,2507765,agg_count_less(-2)
tpc-ds,q50,5.19,4,4,4,4,0,0,4,6,2,6,5,5,4,2,1,1,4,0,2,5,2099815,2031359,agg_count_less(-2)
tpc-ds,q87,5.11,6,6,3,6,3,0,6,6,3,6,9,9,10,8,12,3,3,0,1,7,2513323,2626419,broadcast_more(+3);partitioned_less(-3);shuffle_less(-9)
tpc-ds,q26,4.96,4,4,3,4,1,0,4,4,2,4,5,5,4,2,3,1,3,0,2,5,1920800,1278082,broadcast_more(+1);partitioned_less(-1);shuffle_less(-2);agg_count_less(-2)
tpc-ds,q79,4.94,4,4,4,4,0,0,4,4,2,4,5,5,4,2,1,1,4,0,2,5,2592364,2394799,agg_count_less(-2)
tpc-h,q8,4.88,7,7,7,5,0,2,7,7,8,5,8,8,4,2,1,5,7,0,2,6,4860984,4374886,rf_probe_less(-3);agg_count_less(-2)
ssb,q4.2,4.84,4,4,4,4,0,0,4,4,1,4,5,5,4,2,1,1,4,0,2,5,5401054,3937368,agg_count_less(-2)
tpc-ds,q69,4.83,8,8,4,8,2,0,6,6,5,5,9,9,4,2,7,1,4,0,2,9,2513323,2626419,broadcast_more(+4);partitioned_less(-2);shuffle_less(-6);agg_count_less(-2)
tpc-ds,q67,4.79,3,3,3,3,0,0,3,3,1,3,4,4,8,2,5,2,3,0,2,4,9952415,19020155,shuffle_less(-3);agg_count_less(-6)
tpc-ds,q93,4.58,2,2,2,2,0,0,2,1,2,0,3,3,4,2,1,1,2,0,2,3,2333127,2880404,rf_probe_less(-2);rf_build_less(-1);agg_count_less(-2)
ssb,q4.3,4.48,4,4,4,4,0,0,4,4,1,4,5,5,4,2,1,1,4,0,2,5,5401054,3937368,agg_count_less(-2)
ssb,q3.2,4.43,3,3,3,3,0,0,3,3,1,3,4,4,4,2,1,1,3,0,2,4,5401054,4374854,agg_count_less(-2)
tpc-ds,q85,4.39,7,7,5,7,2,0,7,10,9,10,8,8,4,2,5,1,5,0,2,8,1920800,360068,broadcast_more(+2);partitioned_less(-2);shuffle_less(-4);agg_count_less(-2)
tpc-ds,q31,4.34,9,9,4,9,2,0,9,9,9,4,6,6,8,4,15,2,4,0,2,10,2513323,2626206,broadcast_more(+5);partitioned_less(-2);shuffle_less(-13);rf_probe_less(-5);agg_count_less(-4)
tpc-ds,q19,4.31,5,5,5,5,0,0,5,5,3,4,6,6,4,2,1,1,5,0,2,6,2513323,2257066,agg_count_less(-2)
ssb,q2.1,4.30,3,3,3,3,0,0,3,3,1,3,4,4,4,2,1,1,3,0,2,4,5401054,4374854,agg_count_less(-2)
ssb,q3.3,4.28,3,3,3,3,0,0,3,3,1,3,4,4,4,2,1,1,3,0,2,4,5401054,4374854,agg_count_less(-2)
