suite,case,elapsed_sec,joins_sr,joins_nr,broadcast_join_sr,broadcast_join_nr,partitioned_join_sr,partitioned_join_nr,shuffle_exchange_sr,shuffle_exchange_nr,broadcast_exchange_sr,broadcast_exchange_nr,runtime_filter_build_sr,runtime_filter_build_nr,runtime_filter_probe_sr,runtime_filter_probe_nr,scan_sr,scan_nr,agg_sr,agg_nr,sort_topn_sr,sort_topn_nr,max_card_rows_sr,max_card_rows_nr,gap_tags
tpc-ds,q72,6.79,10,10,8,9,2,1,5,3,8,0,9,9,17,5,11,11,2,2,1,1,0,8562105,BroadcastJoin更多(+1);PartitionedJoin更少(-1);ShuffleExchange更少(-2);RFProbe更少(-12)
tpc-ds,q60,6.67,12,12,9,9,3,6,11,9,9,0,12,9,12,9,15,15,8,7,1,1,0,2363586,ShuffleExchange更少(-2);RFProbe更少(-3);RFBuild更少(-3);Agg节点更少(-1)
tpc-ds,q56,6.53,12,12,9,9,3,6,11,9,9,0,12,9,12,9,15,15,8,7,1,1,0,2363586,ShuffleExchange更少(-2);RFProbe更少(-3);RFBuild更少(-3);Agg节点更少(-1)
tpc-ds,q58,6.45,14,14,12,14,2,0,3,3,12,1,14,14,21,11,15,15,6,6,1,1,0,2475280,BroadcastJoin更多(+2);PartitionedJoin更少(-2);RFProbe更少(-10)
tpc-ds,q71,6.35,5,5,5,5,0,0,2,1,5,3,5,5,15,4,8,8,2,2,1,1,0,2750311,ShuffleExchange更少(-1);RFProbe更少(-11)
tpc-ds,q12,6.20,2,2,2,2,0,0,2,2,2,0,2,2,2,2,3,3,2,2,2,2,0,647276,
tpc-ds,q8,6.10,4,4,3,3,1,1,6,6,3,0,4,3,4,2,6,6,4,4,2,1,0,27181618,RFProbe更少(-2);RFBuild更少(-1)
ssb,q4.1,6.07,4,4,4,4,0,0,2,1,4,0,4,4,4,4,5,5,2,2,1,1,0,3937368,ShuffleExchange更少(-1)
tpc-h,q19,6.07,1,1,1,1,0,0,0,0,1,0,1,1,1,1,2,2,2,2,0,0,0,1174001,
tpc-ds,q18,5.86,6,6,4,5,2,2,5,2,4,1,6,5,10,5,7,7,2,1,2,1,0,1728720,BroadcastJoin更多(+1);ShuffleExchange更少(-3);RFProbe更少(-5);RFBuild更少(-1);Agg节点更少(-1)
tpc-ds,q77,5.78,12,13,6,12,6,0,10,6,7,1,10,10,10,10,16,16,10,15,2,1,0,2626150,BroadcastJoin更多(+6);PartitionedJoin更少(-6);ShuffleExchange更少(-4)
tpc-ds,q11,5.68,7,7,3,7,4,0,14,2,3,2,7,7,17,4,6,6,4,4,1,1,0,3321735,BroadcastJoin更多(+4);PartitionedJoin更少(-4);ShuffleExchange更少(-12);RFProbe更少(-13)
tpc-ds,q48,5.57,4,4,3,4,1,0,3,0,3,0,4,4,6,2,5,5,2,2,0,0,0,471686,BroadcastJoin更多(+1);PartitionedJoin更少(-1);ShuffleExchange更少(-3);RFProbe更少(-4)
tpc-ds,q16,5.55,5,5,4,4,1,2,4,3,4,0,4,4,7,3,6,6,4,4,1,1,0,1420222,ShuffleExchange更少(-1);RFProbe更少(-4)
tpc-ds,q46,5.53,6,6,6,6,0,0,1,1,6,0,6,6,8,6,7,7,2,2,1,1,0,2286736,RFProbe更少(-2)
tpc-ds,q66,5.52,8,8,8,8,0,0,4,2,8,0,8,8,8,8,10,10,6,5,2,1,0,1413253,ShuffleExchange更少(-2);Agg节点更少(-1)
tpc-ds,q38,5.42,6,6,3,6,3,0,12,3,3,0,6,6,6,6,9,9,8,8,0,0,0,2626419,BroadcastJoin更多(+3);PartitionedJoin更少(-3);ShuffleExchange更少(-9)
tpc-ds,q68,5.37,6,6,6,4,0,3,1,5,6,1,6,4,8,4,7,7,2,2,1,1,0,2286736,RFProbe更少(-4);RFBuild更少(-2)
tpc-ds,q7,5.35,4,4,3,4,1,0,3,1,3,0,4,4,5,4,5,5,2,2,2,1,0,2257560,BroadcastJoin更多(+1);PartitionedJoin更少(-1);ShuffleExchange更少(-2);RFProbe更少(-1)
tpc-ds,q10,5.32,7,7,4,7,3,0,6,1,4,1,7,7,8,5,9,9,2,2,2,1,0,2626419,BroadcastJoin更多(+3);PartitionedJoin更少(-3);ShuffleExchange更少(-5);RFProbe更少(-3)
