suite,case,step,rank_in_query,node_id,operator,act_rows,act_time,act_time_sec,peak,indent,result_path
ssb,q4.2,1,3,14,"HASH AGGREGATE (LOCAL, group by: [d_year, s_nation, p_category])",22172,160.3ms,0.1603,1.9MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q4.2.result
ssb,q4.2,1,4,13,"HASH JOIN (BROADCAST, INNER, eq: [lo_custkey = c_custkey])",39848,104.3ms,0.1043,3.9MB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q4.2.result
ssb,q4.2,1,5,4,"HASH JOIN (BROADCAST, INNER, eq: [lo_orderdate = d_datekey])",1447171,46.6ms,0.0466,11.4MB,8,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q4.2.result
ssb,q4.3,1,1,4,"HASH JOIN (BROADCAST, INNER, eq: [lo_orderdate = d_datekey])",1447171,67.4ms,0.0674,11.4MB,8,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q4.3.result
ssb,q4.3,1,2,7,"HASH JOIN (BROADCAST, INNER, eq: [lo_partkey = p_partkey])",81758,62.8ms,0.0628,14.4MB,6,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q4.3.result
ssb,q4.3,1,3,10,"HASH JOIN (BROADCAST, INNER, eq: [lo_suppkey = s_suppkey])",2402,15.6ms,0.0156,136.1KB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q4.3.result
ssb,q4.3,1,4,1,SCAN ssb.lineorder,6001171,13.0ms,0.013,0B,10,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q4.3.result
ssb,q4.3,1,5,14,"HASH AGGREGATE (LOCAL, group by: [d_year, s_city, p_brand])",875,6.9ms,0.0069,1.9MB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/ssb/q4.3.result
tpc-ds,q1,1,1,59,"LOCAL TOP-N (limit=100, offset=0) [c_customer_id ASC NULLS FIRST]",13234,23.4ms,0.0234,22.3KB,0,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q1.result
tpc-ds,q1,1,2,49,"HASH JOIN (PARTITIONED, INNER, eq: [c_customer_sk = ctr1.ctr_customer_sk])",199866,12.6ms,0.0126,18.2MB,8,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q1.result
tpc-ds,q1,1,3,58,PROJECT [c_customer_id],12934,9.6ms,0.0096,51.2KB,2,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q1.result
tpc-ds,q1,1,4,56,"HASH JOIN (BROADCAST, LEFT OUTER, eq: [ctr1.ctr_store_sk = ctr2.ctr_store_sk])",62888,7.6ms,0.0076,276.0KB,6,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q1.result
tpc-ds,q1,1,5,11,EXCHANGE,100374,5.7ms,0.0057,402.9KB,68,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q1.result
tpc-ds,q10,1,1,14,"HASH JOIN (BROADCAST, LEFT SEMI, eq: [c.c_customer_sk = store_sales.ss_customer_sk])",319193,62.5ms,0.0625,7.3MB,4,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q10.result
tpc-ds,q10,1,2,23,"HASH JOIN (BROADCAST, INNER, eq: [cs_sold_date_sk = d_date_sk])",54721,33.5ms,0.0335,8.4MB,10,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q10.result
tpc-ds,q10,1,3,20,SCAN tpcds.catalog_sales,1434368,32.9ms,0.0329,0B,12,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/plans/analyze/tpc-ds/q10.result
