suite,case,step,status,elapsed_sec,rows,log_path
tpc-ds,q58,1,PASS,6.45,369,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q59,1,PASS,2.87,272,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q6,1,PASS,3.71,152,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q60,1,PASS,6.67,288,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q61,1,PASS,7.92,226,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q62,1,PASS,1.65,96,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q63,1,PASS,12.63,87,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q64,1,PASS,31.64,379,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q65,1,PASS,7.55,135,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q66,1,PASS,5.52,183,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q67,1,PASS,4.79,95,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q68,1,PASS,5.37,138,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q69,1,PASS,4.83,158,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q7,1,PASS,5.35,94,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q70,1,PASS,13.80,134,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q71,1,PASS,6.35,194,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q72,1,PASS,6.79,191,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q73,1,PASS,4.10,101,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q74,1,PASS,4.21,246,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q75,1,PASS,13.39,263,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q76,1,PASS,6.93,146,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q77,1,PASS,5.78,334,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q78,1,PASS,11.66,178,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q79,1,PASS,4.94,99,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q8,1,PASS,6.10,137,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q80,1,PASS,10.05,302,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
tpc-ds,q81,1,PASS,3.28,194,/Users/harbor/.codex/worktrees/4f87/NovaRocks/logs/baseline/20260622-231416-tpc-baseline/analyze-tpc-ds.log
